freq,dairyprod,milkitem,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,D1100A,PRO,AT	3424.60 	3524.88 	3568.90 	3659.96 	3747.78 	3859.99 	3820.04 	3852.26 	3867.49 	3980.29 	3716.97 	4058.48 
A,D1100A,PRO,BE	3529.00 	3710.00 	3826.00 	3959.00 	4094.00 	4236.00 	4337.00 	4502.00 	4481.00 	4618.00 	4684.37 	4654.26 
A,D1100A,PRO,BG	1306.00 	1231.00 	1152.60 	1148.66 	1091.47 	1025.20 	939.50 	1005.45 	953.07 	868.60 	815.77 	793.89 
A,D1100A,PRO,CH	: 	0.00 	: 	: 	: 	: 	3376.27 	3382.28 	3396.39 	3742.10 b	3769.10 	3728.60 
A,D1100A,PRO,CY	205.83 	212.91 	214.09 p	237.65 	279.02 	294.64 	310.35 	347.41 	382.70 	366.23 	390.81 	414.14 
A,D1100A,PRO,CZ	2849.48 e	2933.69 	3026.53 	3065.27 	3079.29 	3161.64 	3155.97 	3268.14 	3310.55 	3339.81 	3476.26 	3554.81 
A,D1100A,PRO,DE	31337.85 	32394.97 	32684.57 	32687.64 	32614.17 	33109.66 	33102.57 	33188.89 	32531.56 	32421.62 	34033.75 	33792.59 
A,D1100A,PRO,DK	5081.80 	5162.00 	5335.70 	5435.70 	5502.20 	5615.20 	5615.00 	5666.00 	5644.00 	5664.00 	5687.00 	5690.00 
A,D1100A,PRO,EE	772.00 	805.20 	783.20 	783.20 	790.60 	797.60 	821.50 	849.00 	839.40 	848.60 	894.70 	941.00 
A,D1100A,PRO,EL	1817.20 	1892.00 	1915.00 	1897.00 	1807.00 	1844.90 	1959.44 	1990.33 	2027.73 	1999.43 	1962.50 	1935.60 
A,D1100A,PRO,ES	7630.94 	7853.72 p	8105.07 p	8218.49 p	8300.55 p	8417.53 p	8559.68 	8686.22 p	8702.59 p	8483.00 p	8564.62 p	8587.23 p
A,D1100A,PRO,EU27_2020	145083.40 	149749.13 	152657.84 p	153894.72 p	155218.80 p	156739 	158283 	160281.96 p	159772.68 p	159996.09 p	160887.23 p	: @C
A,D1100A,PRO,FI	2327.80 	2400.01 	2436.76 	2429.59 	2405.76 	2397.88 	2374.36 	2406.52 	2314.85 	2258.63 	2239.00 	2209.22 
A,D1100A,PRO,FR	25329.13 	26602.50 	26712.84 	26065.89 	26006.31 	26022.50 	26036.29 	26288.53 	25829.08 	25681.54 	25050.50 	25244.57 p
A,D1100A,PRO,HR	739.00 	728.00 	707.00 	689.00 	668.00 	634.00 	615.00 	612.00 	570.00 	535.00 	479.00 	477.00 
A,D1100A,PRO,HU	1778.14 	1880.95 	1946.65 	1923.80 	1972.99 	1953.76 	1967.37 	2019.00 	2085.00 	2044.90 	2032.11 	2098.01 
A,D1100A,PRO,IE	5600.70 	5821.30 	6604.41 	6871.94 	7498.94 	7831.25 	8244.87 	8561.47 	9039.99 	9108.28 	8730.71 	: @C
A,D1100A,PRO,IT	12039.94 	12217.34 	12191.94 	12669.59 	12983.23 	13131.64 	13300.10 	13509.51 	13997.97 	13971.68 	13842.19 	13973.39 
A,D1100A,PRO,LT	1723.07 	1795.07 	1738.52 	1627.68 	1570.71 	1571.84 	1551.14 	1491.67 	1476.89 	1521.94 	1472.97 	1528.52 
A,D1100A,PRO,LU	298.92 	319.83 	349.37 	379.42 	390.44 	410.90 	424.23 	450.54 	446.67 	452.43 	471.56 	485.79 
A,D1100A,PRO,LV	915.10 	971.80 p	978.10 	986.20 	1000.10 	982.90 	981.40 	990.10 	992.22 	975.29 	963.68 	960.99 
A,D1100A,PRO,ME	186.42 	191.80 	183.09 	180.55 p	181.40 p	181.50 p	178.00 p	: 	: 	: 	: 	: 
A,D1100A,PRO,MK	: 	: 	: 	477.35 	462.22 	478.47 	456.14 	461.14 	389.21 	387.97 	291.73 	: 
A,D1100A,PRO,MT	43.50 	45.25 	44.21 	45.64 	41.88 	43.23 	44.12 	44.94 	42.32 	42.08 	40.39 	41.20 
A,D1100A,PRO,NL	12639.64 	12904.51 	13783.85 	14825.00 	14822.00 	14426.00 	14944.00 	14932.00 	14607.88 	14983.90 	15117.05 	14815.69 
A,D1100A,PRO,NO	: 	: 	: 	: 	0.00 	707.50 	: 	: 	: 	: 	: 	: 
A,D1100A,PRO,PL	12735.00 	13002.00 	13252.89 	13251.56 	13702.38 	14179.21 	14511.49 	14830.87 	14890.27 	15218.08 	15491.89 	16049.76 
A,D1100A,PRO,PT	1951.17 	2043.57 	2114.21 	2020.65 	2020.76 	2040.29 	2081.88 	2099.13 	2100.19 	2030.94 	2058.68 	2048.14 
A,D1100A,PRO,RO	4619.00 	4804.00 	4676.60 	4585.70 	4439.20 	4443.30 	4339.60 	4362.50 	4299.70 	4261.90 	4318.40 	4406.10 
A,D1100A,PRO,RS	: 	1596.18 	1610.82 	1603.74 	1599.26 	1590.01 	1597.04 	1583.74 	1563.48 	1512.11 	1416.79 	1378.92 
A,D1100A,PRO,SE	2869.58 	2931.65 	2933.16 	2862.23 	2816.66 	2760.23 	2704.39 	2772.74 	2782.22 	2764.84 	2818.53 	2799.91 
A,D1100A,PRO,SI	596.91 	618.53 	633.82 	651.40 	649.96 	631.22 	625.64 	633.20 	642.94 	628.11 	607.76 	611.34 
A,D1100A,PRO,SK	922.11 	942.45 	941.86 	916.88 	923.40 	917.00 	915.70 	929.54 	914.41 	926.98 	926.06 	929.23 
A,D1100A,PRO,TR	: 	: 	: 	: 	: 	: 	: 	: 	23200.31 	21563.49 	21481.57 	22487.76 
A,D1100A,PRO,UK	13943.00 	15088.00 	15457.00 p	14938.00 	15443.00 	15488.11 	15731.00 	: 	: 	: 	: 	: 
A,D1100A,PRO,XK	: 	: 	: 	: 	365.09 	334.31 	: 	: 	: 	: 	: 	: 
