RANK;DY_CTRY_NAME;DY_TO_DATE;DY_CTRY_DAI_FLIGHTS;DY_DIF_PREV_WEEK_PERC;DY_DIF_PREV_YEAR_PERC;DY_DIF_2019_PERC;ISO_CODE;WK_CTRY_NAME;WK_FROM_DATE;WK_TO_DATE;WK_CTRY_DAI_FLIGHTS;WK_DIF_PREV_WEEK_PERC;WK_DIF_PREV_YEAR_PERC;WK_DIF_2019_PERC;Y2D_CTRY_NAME;Y2D_TO_DATE;Y2D_CTRY_DAI_FLIGHTS;Y2D_DIF_PREV_YEAR_PERC;Y2D_DIF_2019_PERC
32;Latvia;2025.11.16 00:00:00;177;3%;0%;-13%;LV;Latvia;2025.11.10 00:00:00;2025.11.16 00:00:00;162,1428571;-0,004385965;-0,047019312;-0,242323097;Albania;2025.11.16 00:00:00;19782%;3%;152%
36;Armenia;2025.11.16 00:00:00;121;-2%;4%;83%;AM;Armenia;2025.11.10 00:00:00;2025.11.16 00:00:00;107;-0,03974359;0,096632504;0,586864407;Armenia;2025.11.16 00:00:00;11817%;9%;62%
35;Moldova;2025.11.16 00:00:00;128;-2%;39%;125%;MD;Moldova;2025.11.10 00:00:00;2025.11.16 00:00:00;113,7142857;-0,012406948;0,307060755;1,025445293;Moldova;2025.11.16 00:00:00;12323%;38%;60%
30;Luxembourg;2025.11.16 00:00:00;197;-15%;12%;2%;LU;Iceland;2025.11.10 00:00:00;2025.11.16 00:00:00;177,5714286;0;0,073402418;;Georgia;2025.11.16 00:00:00;20225%;18%;54%
39;North Macedonia;2025.11.16 00:00:00;69;10%;6%;50%;MK;North Macedonia;2025.11.10 00:00:00;2025.11.16 00:00:00;67,14285714;-0,010526316;0,103286385;0,37829912;Bosnia and Herzegovina;2025.11.16 00:00:00;7628%;21%;41%
18;Sweden;2025.11.16 00:00:00;731;0%;10%;-19%;SE;Morocco;2025.11.10 00:00:00;2025.11.16 00:00:00;730;-0,026295732;0,098924731;0,372180451;Morocco;2025.11.16 00:00:00;70954%;9%;27%
29;Malta;2025.11.16 00:00:00;199;0%;17%;37%;MT;Malta;2025.11.10 00:00:00;2025.11.16 00:00:00;181;-0,075857039;0,063811923;0,340740741;Malta;2025.11.16 00:00:00;20377%;10%;26%
26;Georgia;2025.11.16 00:00:00;206;6%;7%;86%;GE;Bulgaria;2025.11.10 00:00:00;2025.11.16 00:00:00;191,8571429;-0,027516293;0,042701863;0,091869919;Cyprus;2025.11.16 00:00:00;29898%;8%;25%
7;Netherlands;2025.11.16 00:00:00;1489;-1%;1%;-1%;NL;Netherlands;2025.11.10 00:00:00;2025.11.16 00:00:00;1509;-0,005367232;0,006863025;-0,015196718;Greece;2025.11.16 00:00:00;165459%;4%;22%
41;Slovenia;2025.11.16 00:00:00;49;-23%;-4%;14%;SI;Bosnia and Herzegovina;2025.11.10 00:00:00;2025.11.16 00:00:00;57,28571429;-0,002487562;0,0025;0,336666667;North Macedonia;2025.11.16 00:00:00;7271%;5%;22%
25;Cyprus;2025.11.16 00:00:00;260;-6%;19%;39%;CY;Cyprus;2025.11.10 00:00:00;2025.11.16 00:00:00;240,1428571;-0,096722192;0,149008886;0,392709196;Serbia/Montenegro;2025.11.16 00:00:00;32583%;5%;21%
9;Portugal;2025.11.16 00:00:00;1126;-5%;3%;15%;PT;Switzerland;2025.11.10 00:00:00;2025.11.16 00:00:00;1134,428571;-0,013540373;0,029427016;0,017424728;Poland;2025.11.16 00:00:00;136174%;9%;19%
6;Türkiye;2025.11.16 00:00:00;2993;-6%;9%;25%;TR;Türkiye;2025.11.10 00:00:00;2025.11.16 00:00:00;2899,428571;-0,071333791;0,096310701;0,249061481;Türkiye;2025.11.16 00:00:00;343647%;7%;19%
24;Serbia/Montenegro;2025.11.16 00:00:00;272;4%;7%;28%;RSME;Serbia/Montenegro;2025.11.10 00:00:00;2025.11.16 00:00:00;262,8571429;-0,018666667;0,01210121;0,238223419;Croatia;2025.11.16 00:00:00;38740%;5%;16%
12;Ireland;2025.11.16 00:00:00;854;1%;13%;17%;IE;Greece;2025.11.10 00:00:00;2025.11.16 00:00:00;843,7142857;-0,082206682;0,105164671;0,350869167;Portugal;2025.11.16 00:00:00;129983%;4%;14%
2;Spain;2025.11.16 00:00:00;4916;-2%;3%;20%;ES;Spain;2025.11.10 00:00:00;2025.11.16 00:00:00;4493,857143;-0,033430635;0,035450955;0,191192063;Spain;2025.11.16 00:00:00;532474%;5%;12%
19;Romania;2025.11.16 00:00:00;554;1%;17%;20%;RO;Romania;2025.11.10 00:00:00;2025.11.16 00:00:00;548,8571429;-0,043326693;0,118486172;0,183246073;Romania;2025.11.16 00:00:00;58387%;8%;12%
23;Czech Republic;2025.11.16 00:00:00;404;0%;3%;-4%;CZ;Hungary;2025.11.10 00:00:00;2025.11.16 00:00:00;384,8571429;0,000371333;0,059795437;0,091130012;Hungary;2025.11.16 00:00:00;40082%;8%;10%
5;France;2025.11.16 00:00:00;3419;-3%;3%;-2%;FR;Italy;2025.11.10 00:00:00;2025.11.16 00:00:00;3239,571429;-0,036251594;0,055038615;0,072350688;Italy;2025.11.16 00:00:00;406512%;4%;10%
16;Morocco;2025.11.16 00:00:00;770;2%;8%;43%;MA;Sweden;2025.11.10 00:00:00;2025.11.16 00:00:00;766,7142857;-0,021691579;0,006941839;-0,269597169;Ireland;2025.11.16 00:00:00;88149%;6%;7%
10;Switzerland;2025.11.16 00:00:00;1123;-6%;-2%;0%;CH;Poland;2025.11.10 00:00:00;2025.11.16 00:00:00;1088,428571;-0,043920191;0,022547309;0,043127054;Switzerland;2025.11.16 00:00:00;133378%;2%;-1%
38;Slovakia;2025.11.16 00:00:00;75;7%;15%;-1%;SK;Slovakia;2025.11.10 00:00:00;2025.11.16 00:00:00;73,28571429;0,00984252;0,044806517;-0,030245747;Slovakia;2025.11.16 00:00:00;9410%;6%;-1%
27;Bulgaria;2025.11.16 00:00:00;203;-2%;3%;22%;BG;Georgia;2025.11.10 00:00:00;2025.11.16 00:00:00;188,4285714;-0,025129342;0,068016194;0,908827786;Bulgaria;2025.11.16 00:00:00;26318%;5%;-1%
4;Italy;2025.11.16 00:00:00;3570;-1%;9%;16%;IT;France;2025.11.10 00:00:00;2025.11.16 00:00:00;3565,714286;-0,05921375;0,042780749;-0,02305374;France;2025.11.16 00:00:00;430906%;3%;-2%
21;Finland;2025.11.16 00:00:00;463;3%;-1%;-11%;FI;Israel;2025.11.10 00:00:00;2025.11.16 00:00:00;410,1428571;-0,031703204;0,554412561;-0,072074984;Czech Republic;2025.11.16 00:00:00;46464%;7%;-3%
8;Poland;2025.11.16 00:00:00;1143;2%;11%;12%;PL;Norway;2025.11.10 00:00:00;2025.11.16 00:00:00;1231,428571;-0,018223235;-0,014068398;-0,133581264;Netherlands;2025.11.16 00:00:00;163694%;1%;-4%
13;Greece;2025.11.16 00:00:00;848;-7%;8%;36%;GR;Belgium;2025.11.10 00:00:00;2025.11.16 00:00:00;837,8571429;-0,028169014;0,032025339;-0,044788274;Belgium;2025.11.16 00:00:00;91159%;5%;-4%
1;United Kingdom;2025.11.16 00:00:00;5065;-1%;2%;1%;GB;United Kingdom;2025.11.10 00:00:00;2025.11.16 00:00:00;4800,857143;-0,037132543;0,021086534;-0,040924658;United Kingdom;2025.11.16 00:00:00;570967%;2%;-5%
34;Lithuania;2025.11.16 00:00:00;165;-9%;15%;26%;LT;Albania;2025.11.10 00:00:00;2025.11.16 00:00:00;151,4285714;-0,013035382;0,024154589;1,176591376;Lithuania;2025.11.16 00:00:00;16865%;5%;-5%
15;Belgium;2025.11.16 00:00:00;789;-3%;2%;-1%;BE;Ireland;2025.11.10 00:00:00;2025.11.16 00:00:00;772,4285714;-0,01744503;0,123882769;0,13592437;Denmark;2025.11.16 00:00:00;89301%;2%;-5%
31;Albania;2025.11.16 00:00:00;185;4%;16%;134%;AL;Croatia;2025.11.10 00:00:00;2025.11.16 00:00:00;174;-0,024819856;0,036595745;0,1952895;Luxembourg;2025.11.16 00:00:00;19859%;0%;-6%
11;Norway;2025.11.16 00:00:00;1073;-3%;-10%;-9%;NO;Portugal;2025.11.10 00:00:00;2025.11.16 00:00:00;1065;-0,05429405;0,052371542;0,134703196;Norway;2025.11.16 00:00:00;132757%;2%;-7%
14;Denmark;2025.11.16 00:00:00;812;-2%;11%;1%;DK;Denmark;2025.11.10 00:00:00;2025.11.16 00:00:00;832;-0,01488498;0,087378641;-0,035601921;Austria;2025.11.16 00:00:00;89896%;3%;-9%
37;Estonia;2025.11.16 00:00:00;103;0%;2%;11%;EE;Estonia;2025.11.10 00:00:00;2025.11.16 00:00:00;107;-0,051898734;0,126315789;-0,066084788;Estonia;2025.11.16 00:00:00;11316%;0%;-12%
3;Germany;2025.11.16 00:00:00;4143;-5%;2%;-11%;DE;Germany;2025.11.10 00:00:00;2025.11.16 00:00:00;4426,571429;-0,038895782;0,023180557;-0,133622256;Germany;2025.11.16 00:00:00;499531%;4%;-13%
22;Hungary;2025.11.16 00:00:00;416;0%;6%;16%;HU;Czech Republic;2025.11.10 00:00:00;2025.11.16 00:00:00;396,5714286;-0,037447989;0,102024613;-0,032415476;Israel;2025.11.16 00:00:00;40841%;31%;-17%
40;Bosnia and Herzegovina;2025.11.16 00:00:00;65;-2%;25%;55%;BA;Slovenia;2025.11.10 00:00:00;2025.11.16 00:00:00;59,42857143;-0,06935123;0,055837563;0,089005236;Slovenia;2025.11.16 00:00:00;7315%;6%;-19%
20;Israel;2025.11.16 00:00:00;495;-1%;47%;-8%;IL;Finland;2025.11.10 00:00:00;2025.11.16 00:00:00;475,2857143;0,001505117;-0,002996704;-0,190904669;Finland;2025.11.16 00:00:00;49019%;2%;-20%
17;Austria;2025.11.16 00:00:00;759;-1%;5%;-10%;AT;Austria;2025.11.10 00:00:00;2025.11.16 00:00:00;756,7142857;-0,029142229;0,031548199;-0,140236975;Sweden;2025.11.16 00:00:00;83503%;-4%;-26%
33;Croatia;2025.11.16 00:00:00;176;7%;9%;24%;HR;Lithuania;2025.11.10 00:00:00;2025.11.16 00:00:00;155;-0,067869416;0,085;-0,02690583;Latvia;2025.11.16 00:00:00;17663%;0%;-27%
28;Iceland;2025.11.16 00:00:00;202;11%;3%;0%;IS;Luxembourg;2025.11.10 00:00:00;2025.11.16 00:00:00;183,4285714;-0,116918845;0,009433962;-0,131258457;Iceland;2025.11.16 00:00:00;22285%;-1%;0%