GeoFips,GeoName,2025:Q1,2025:Q2
01000,Alabama,334355.6,337651.5
02000,Alaska,74861.1,74152.4
04000,Arizona,583747.1,592853.3
05000,Arkansas,195158.9,195810.4
06000,California,4150764.6,4215206.2
08000,Colorado,572096.2,578591.8
09000,Connecticut,365900.9,372735.0
10000,Delaware,114459.9,116005.6
11000,District of Columbia,189876.7,191775.7
12000,Florida,1790562.2,1821506.6
13000,Georgia,902412.4,915807.8
15000,Hawaii,122293.3,123608.5
16000,Idaho,132907.6,134501.3
17000,Illinois,1168766.6,1191814.7
18000,Indiana,532944.9,539309.2
19000,Iowa,271062.7,273962.0
20000,Kansas,234125.3,238959.6
21000,Kentucky,298993.7,304353.0
22000,Louisiana,332840.3,336798.6
23000,Maine,100606.5,102032.3
24000,Maryland,556479.8,563981.4
25000,Massachusetts,799488.8,813670.2
26000,Michigan,711619.9,722971.7
27000,Minnesota,519743.8,527259.5
28000,Mississippi,162627.6,163286.4
29000,Missouri,457261.6,464131.3
30000,Montana,80653.0,81559.2
31000,Nebraska,193129.9,196276.2
32000,Nevada,275701.8,279206.9
33000,New Hampshire,122441.9,124166.9
34000,New Jersey,865908.3,879922.2
35000,New Mexico,150980.0,151485.2
36000,New York,2403653.4,2442989.2
37000,North Carolina,869183.5,883625.6
38000,North Dakota,81506.4,81395.6
39000,Ohio,941797.0,956857.0
40000,Oklahoma,270219.5,271569.7
41000,Oregon,335341.7,339846.5
42000,Pennsylvania,1029344.6,1045273.0
44000,Rhode Island,82268.1,83127.5
45000,South Carolina,369592.7,375755.0
46000,South Dakota,78599.8,79766.1
47000,Tennessee,575428.1,584444.0
48000,Texas,2838524.7,2878512.9
49000,Utah,309019.3,313044.3
50000,Vermont,47307.5,47920.8
51000,Virginia,781546.9,791229.0
53000,Washington,876760.9,889424.6
54000,West Virginia,108127.9,108138.5
55000,Wisconsin,462006.3,468828.0
56000,Wyoming,52166.7,52187.2