﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Linie kolejowe eksploatowane (stan w dniu 31 XII);km;23 231;24 059;24 697;26 076;26 312;26 386;26 666;26 762;26 999;26 985;27 003;26 974;27 040;27 017;26 904;26 827;26 928;26 920;26 898;26 862;26 739;26 638;26 628;26 574;26 678;26 717;26 737;26 587;26 709;26 702;26 734;26 832;26 835;27 271;27 185;27 172;27 158;27 139;27 070;27 095;26 848;26 637;26 545;26 644;26 228;25 848;25 254;24 926;24 313;23 986;23 420;23 328;23 210
normalnotorowe;km;20 802;21 329;21 906;22 324;22 482;22 522;22 753;22 853;23 091;23 123;23 198;23 201;23 263;23 272;23 232;23 214;23 332;23 365;23 365;23 347;23 283;23 216;23 206;23 196;23 311;23 510;23 558;23 577;23 773;23 766;23 855;23 953;23 975;24 415;24 356;24 360;24 348;24 329;24 353;24 361;24 333;24 241;24 188;24 287;23 993;23 852;23 399;23 312;22 895;22 598;22 285;22 289;22 113
zelektryfikowane;km;63;68;68;113;156;164;237;272;338;477;533;644;670;826;1026;1212;1384;1559;1826;2227;2568;2900;3206;3477;3872;4010;4359;4700;5118;5588;5988;6308;6496;6687;6868;7091;7410;7828;8307;8902;9452;9978;10 508;11 016;11 387;11 510;11 496;11 482;11 613;11 627;11 626;11 626;11 614
niezelektryfikowane;km;20 739;21 261;21 838;22 211;22 326;22 358;22 516;22 581;22 753;22 646;22 665;22 557;22 593;22 446;22 206;22 002;21 948;21 806;21 539;21 120;20 715;20 316;20 000;19 719;19 439;19 500;19 199;18 877;18 655;18 178;17 867;17 645;17 479;17 728;17 488;17 269;16 938;16 501;16 046;15 459;14 881;14 263;13 680;13 271;12 606;12 342;11 903;11 830;11 282;10 971;10 659;10 663;10 499
jednotorowe;km;15 550;15 769;16 144;16 366;16 333;16 355;16 371;16 361;16 294;16 264;16 344;16 135;16 144;16 092;15 977;15 888;16 005;16 016;15 967;15 909;15 828;15 729;15 642;15 577;15 713;15 741;15 719;15 726;15 758;15 488;15 461;15 452;15 358;15 677;15 599;15 562;15 505;15 472;15 389;15 373;15 347;15 251;15 196;15 300;15 000;14 870;14 509;14 373;13 962;13 693;13 401;13 397;13 240
wielotorowe;km;5252;5560;5762;5958;6149;6167;6382;6492;6797;6859;6854;7066;7119;7180;7255;7326;7327;7349;7398;7438;7455;7487;7564;7619;7598;7769;7839;7851;8015;8278;8394;8501;8617;8738;8757;8798;8843;8857;8964;8988;8986;8990;8992;8987;8993;8982;8890;8939;8933;8905;8884;8892;8873
wąskotorowe;km;2429;2730;2791;3752;3830;3864;3913;3909;3908;3862;3805;3773;3777;3745;3672;3613;3596;3555;3533;3515;3456;3422;3422;3378;3367;3207;3179;3010;2936;2936;2879;2879;2860;2856;2829;2812;2810;2810;2717;2734;2515;2396;2357;2357;2235;1996;1855;1614;1418;1388;1135;1039;1097
Drogi publiczne o twardej nawierzchni - drogi miejskie i zamiejskie (stan w dniu 31 XII);km;95 841;96 605;97 300;97 300;112 655;112 603;112 857;114 405;115 590;117 007;118 025;119 990;121 192;123 767;124 070;125 866;129 081;131 588;135 210;137 589;141 341;144 403;147 406;150 965;154 164;156 312;159 855;163 035;166 695;168 849;171 635;173 880;175 993;178 092;180 046;181 550;183 686;185 639;187 449;189 163;210 591;209 704;214 380;215 633;218 422;225 697;229 129;231 879;234 534;237 153;239 330;241 980;244 567
o twardej nawierzchni ulepszonej;km;.;.;.;.;27 090;.;.;.;.;32 859;.;.;.;.;45 568;49 006;53 179;57 083;61 593;66 024;.;.;.;.;90 512;94 790;.;.;.;117 977;123 446;128 729;133 763;138 522;142 406;145 176;148 616;152 150;155 631;158 492;170 417;172 633;177 976;180 657;182 900;183 910;187 287;190 484;193 054;195 966;199 304;202 584;205 844
o twardej nawierzchni nieulepszonej;km;.;.;.;.;85 565;.;.;.;.;84 148;.;.;.;.;78 502;76 860;75 902;74 505;73 617;71 565;.;.;.;.;63 652;61 522;.;.;.;50 872;48 189;45 151;42 230;39 570;37 640;36 374;35 070;33 489;31 818;30 671;40 174;37 071;36 404;34 976;35 522;41 787;41 842;41 395;41 480;41 187;40 026;39 396;38 723
Sieć regularnej komunikacji autobusowej PKS (stan w dniu 31 XII);km;8500;12 200;15 600;23 000;26 700;27 900;30 900;33 700;35 500;36 925;37 200;40 730;48 279;53 226;58 403;61 910;64 859;67 706;70 634;73 247;76 357;80 090;82 509;85 724;88 351;90 590;93 724;97 201;99 422;99 957;102 202;103 682;106 819;108 072;109 301;110 211;110 844;112 406;114 592;116 519;117 934;118 857;120 136;121 059;122 060;125 491;127 655;—;—;—;—;—;—
Sieć linii lotniczych PLL "LOT" (stan w dniu 31 XII);km;5174;6990;8070;8650;8408;8324;8324;8653;9656;10 284;10 167;10 493;12 475;13 347;14 381;15 008;16 827;18 031;19 069;19 878;26 859;30 590;36 294;37 441;40 694;39 065;45 819;48 667;59 269;59 638;68 669;83 221;88 690;89 875;92 760;90 560;58 113;76 413;71 108;85 208;88 471;90 039;99 225;135 234;116 645;108 963;95 760;99 568;108 000;108 043;88 897;93 992;89 166
zagranicznych;km;3192;4955;5640;6220;5776;5451;5451;5780;6312;7848;7731;8070;10 670;11 542;12 573;13 209;15 019;16 469;16 269;17 602;23 302;25 818;31 926;31 823;36 025;33 748;39 544;45 550;54 351;53 931;63 583;76 768;83 098;85 331;87 633;85 746;53 638;71 373;66 186;80 657;82 700;86 639;95 909;130 697;114 615;107 857;93 391;97 279;106 336;105 821;87 142;92 421;86 875
krajowych;km;1982;2035;2430;2430;2632;2873;2873;2873;3344;2436;2436;2423;1805;1805;1808;1799;1808;1562;2800;2276;3557;4772;4368;5618;4669;5317;6275;3117;4918;5707;5086;6453;5592;4544;5127;4814;4475;5040;4922;4551;5771;3400;3316;4537;2030;1106;2369;2289;1664;2222;1755;1571;2291
Rurociągi do przetłaczania ropy naftowej i produktów naftowych (stan w dniu 31 XII);km;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;670;670;670;670;900;900;900;1125;1383;1554;1554;1851;1851;1851;1851;1975;1975;1975;1975;1984;1986;1986;1986;1986;2021;2023;2039;2040;2192;2192;2278;2278;2278;2278;2278
Drogi wodne śródlądowe żeglowne (stan w dniu 31 XII);km;4781;4979;4797;4560;4560;4560;4560;4560;4560;4560;4560;4560;4560;4576;4576;4591;4591;4611;4615;4615;4615;4615;4615;4615;4615;4680;4608;4573;4572;4572;4527;3983;3976;4035;4040;4040;4040;4040;4017;3997;3997;3997;3997;3997;3997;3997;3997;3997;3980;3980;3812;3812;3812
