Mniejszości;Identyfikacja pierwsza;Identyfikacja pierwsza i jedyna;Identyfikacja druga;Identyfikacje - razem;Identyfikacje - razem, w tym z Polską
Ogółem;38 036 118;37 018 065;1 006 925;38 036 118;37 595 069
Polska;37 499 700;36 620 217;95 369;37 595 069;x
Inna niż polska;525 290;397 848;911 556;1 404 773;974 852
Śląska;236 588;187 372;359 636;596 224;385 046
Kaszubska;15 177;11 961;164 508;179 685;166 839
Niemiecka;42 558;23 495;101 619;144 177;98 336
Ukraińska;64 909;45 777;17 531;82 440;34 076
Białoruska;43 693;35 370;12 914;56 607;19 997
Angielska;4 685;3 123;49 739;54 424;50 700
amerykańska;2 610;1 678;25 146;27 756;25 613
włoska;3 377;2 241;16 603;19 980;17 400
żydowska;8 064;6 036;9 092;17 156;9 650
rosyjska;10 977;7 831;5 017;15 994;6 992
francuska;2 079;1 319;12 660;14 739;13 148
łemkowska;9 226;7 346;4 381;13 607;5 149
romska;9 026;7 096;4 277;13 303;5 827
irlandzka;944;627;10 694;11 638;10 866
litewska;8 088;7 291;2 199;10 287;2 757
holenderska;1 089;744;9 165;10 254;9 339
norweska;486;345;8 481;8 967;8 491
hiszpańska;978;715;7 548;8 526;7 615
czeska;4 035;3 525;3 783;7 818;3 705
szwedzka;566;380;6 480;7 046;6 556
ormiańska;5 586;4 361;1 186;6 772;2 140
belgijska;542;326;5 613;6 155;5 766
kanadyjska;537;326;5 486;6 023;5 593
słowacka;4 508;3 291;1 381;5 889;2 333
grecka;1 139;771;4 312;5 451;4 548
tatarska;4 009;3 326;1 286;5 295;1 507
wietnamska;4 198;3 314;1 073;5 271;1 929
szkocka;309;208;3 745;4 054;3 759
australijska;309;206;3 283;3 592;3 319
karaimska;3 383;3 185;96;3 479;127
austriacka;371;245;3 031;3 402;2 992
duńska;351;253;3 042;3 393;3 078
szwajcarska;258;163;2 649;2 907;2 690
turecka;1 226;861;1 340;2 566;1 586
bułgarska;1 319;866;1 054;2 373;1 424
japońska;371;307;1 752;2 123;1 740
węgierska;679;444;1 434;2 113;1 564
góralska;100;72;1 897;1 997;1 912
hinduska;1 129;938;812;1 941;949
kurpiowska;26;19;1 871;1 897;1 869
kociewska;71;65;1 702;1 773;1 692
islandzka;75;51;1 673;1 748;1 657
chorwacka;232;159;1 424;1 656;1 411
chińska;909;774;738;1 647;818
portugalska;386;266;1 208;1 594;1 260
arabska;565;337;848;1 413;957
egipska;629;411;670;1 299;856
mazurska;367;235;920;1 287;957
rumuńska;563;370;693;1 256;809
nigeryjska;589;408;568;1 157;724
serbska;446;257;703;1 149;817
brazylijska;347;232;750;1 097;809
gruzińska;586;431;491;1 077;581
albańska;247;165;797;1 044;769
koreańska;354;296;686;1 040;698
algierska;446;292;513;959;599
meksykańska;278;189;676;954;744
tunezyjska;515;329;375;890;538
fińska;129;91;755;884;754
afgańska;196;120;549;745;512
czeczeńska;581;474;155;736;225
syryjska;450;281;257;707;400
rusińska;278;160;369;647;328
mongolska;326;256;315;641;358
borowiacka;25;21;585;610;585
mołdawska;446;310;140;586;236
kazachska;290;197;295;585;339
walijska;66;50;496;562;493
nowozelandzka;66;39;439;505;439
marokańska;290;165;197;487;300
macedońska;229;141;257;486;318
palestyńska;257;158;223;480;297
peruwiańska;151;83;292;443;348
azerska;312;233;127;439;176
wielkopolska;160;116;274;434;303
filipińska;228;164;204;432;254
libańska;178;121;225;403;265
kurdyjska;214;129;184;398;231
łotewska;198;144;195;393;228
katalońska;43;25;347;390;318
kubańska;137;96;252;389;281
kolumbijska;134;87;254;388;275
pakistańska;238;190;147;385;188
tajska;135;100;245;380;260
abchaska;53;34;310;363;287
argentyńska;116;62;247;363;263
tybetańska;23;13;329;352;321
bojkowska;38;26;307;345;114
słoweńska;98;73;240;338;244
etiopska;140;113;196;336;205
bośniacka;83;43;244;327;258
iracka;216;139;110;326;175
indonezyjska;149;119;164;313;178
uzbecka;235;180;66;301;103
inne;4 111;2 913;8 314;12 338;8 370
wyłącznie ponadnarodowa (europejska, światowa itp.);5 931;5 931;-;5 931;-
bez przynależności narodowo-etnicznej;1 230;1 230;-;1 230;-
Nieustalona;11 128;-;-;11 128;-