Język używany w domu;Ogółem;Dolnośląskie;Kujawsko-pomorskie;Lubelskie;Lubuskie;Łódzkie;Małopolskie;Mazowieckie;Opolskie;Podkarpackie;Podlaskie;Pomorskie;Śląskie;Świętokrzyskie;Warmińsko-mazurskie;Wielkopolskie;Zachodniopomorskie
Ogółem;38 036 118;2 904 894;2 027 261;2 052 340;991 213;2 410 286;3 432 295;5 514 699;954 133;2 093 360;1 154 283;2 357 320;4 402 950;1 196 557;1 382 232;3 504 579;1 657 716
Polski;37 868 618;2 894 270;2 023 204;2 047 010;988 534;2 405 441;3 422 510;5 496 251;934 640;2 087 048;1 145 558;2 349 508;4 351 438;1 194 245;1 378 356;3 497 791;1 652 814
Inny niż polski;1 746 903;115 613;52 195;49 344;29 268;58 974;117 287;200 676;126 280;62 630;54 903;170 137;492 024;28 606;43 642;89 875;55 449
angielski;737 276;65 540;34 709;31 561;14 224;41 665;78 877;135 167;13 090;40 051;20 113;54 638;75 229;18 991;23 742;59 182;30 497
śląski;467 145;1 434;100;103;105;230;1 598;1 414;84 616;93;42;347;376 369;95;93;322;184
niemiecki;216 342;23 536;9 306;5 654;9 196;6 678;13 827;14 193;34 489;6 298;3 075;15 013;32 024;4 104;8 705;16 210;14 034
kaszubski;89 198;51;152;16;28;30;46;199;12;6;5;88 301;90;7;41;106;108
rosyjski;63 271;7 178;2 041;2 525;1 303;3 116;4 777;17 824;1 073;1 262;3 853;4 815;3 871;821;1 590;4 537;2 685
ukraiński;55 104;7 275;1 460;2 062;1 734;2 097;3 497;10 691;1 644;2 968;1 325;3 629;3 172;448;5 232;4 318;3 552
francuski;41 895;3 064;1 328;1 705;729;1 978;4 741;9 403;640;4 423;3 118;1 881;3 103;901;1 080;2 765;1 036
włoski;38 388;3 461;1 049;3 240;748;1 427;5 526;5 826;610;4 224;1 138;1 510;3 700;2 053;1 263;1 521;1 092
hiszpański;29 480;2 921;1 097;1 056;573;1 486;3 255;6 652;394;2 208;615;1 779;2 731;759;764;2 248;942
niderlandzki;17 633;1 494;1 067;1 343;637;879;1 120;1 584;1 140;808;581;934;2 268;468;817;1 618;875
białoruski;17 325;468;100;211;57;174;308;1 805;26;37;13 089;423;113;6;123;251;134
norweski;14 157;875;812;696;382;615;1 553;1 582;211;773;279;1 723;951;430;681;803;1 791
szwedzki;10 318;601;582;522;257;486;1 112;1 471;119;368;352;1 241;616;247;634;702;1 008
polski język migowy;9 267;806;432;409;155;589;607;1 729;241;461;392;461;1 186;281;359;731;428
romski;7 284;703;513;334;169;524;1 046;664;600;311;110;109;978;93;210;482;438
łemkowski;6 147;3 352;12;20;805;10;1 325;99;14;235;21;47;29;3;23;79;73
litewski;5 422;67;37;28;19;26;43;255;5;16;4 633;85;46;8;70;58;26
grecki;5 339;791;182;257;73;235;673;718;104;665;181;181;532;139;173;278;157
czeski;5 328;1 037;116;122;66;198;483;756;245;162;50;171;1 407;104;72;224;115
duński;4 787;308;294;143;161;306;288;542;115;180;119;504;383;106;185;429;724
wietnamski;4 735;86;51;13;47;129;165;3 803;23;15;13;49;143;17;3;70;108
arabski;3 848;369;130;148;43;248;322;1 255;54;90;77;190;402;49;81;260;130
gwary podlaskie (polsko-białorusko-ukraińskie);3 761;3;2;12;3;3;6;73;-;2;3 641;2;4;1;2;5;2
portugalski;3 686;304;94;111;56;222;557;1 042;29;110;63;232;293;55;57;333;128
turecki;2 883;172;82;81;70;178;232;1 104;38;38;50;175;229;54;39;243;98
japoński;2 455;242;130;53;40;147;242;711;28;38;34;152;248;45;39;205;101
chiński;2 435;189;92;65;51;91;228;865;38;59;39;142;224;30;58;195;69
słowacki;2 382;175;97;88;32;106;608;331;50;146;28;95;343;43;37;133;70
ruski;2 297;357;25;61;50;108;191;535;45;23;274;157;167;17;28;160;99
ormiański;2 220;150;89;113;20;213;148;545;38;41;53;165;251;56;57;123;158
inne;30 520;2 664;1 176;1 238;608;1 629;3 197;6 890;625;1 071;1 443;2 157;2 991;517;865;2 397;1 052
Nieustalony;32 381;2 539;1 190;2 338;817;1 341;2 973;5 049;1 113;3 267;2 233;1 560;2 753;881;1 334;1 612;1 381